Juan Roman Riquelme,89,208000
Alan Shearer,87,140000
Paolo Maldini,88,631000
Kaka,89,588000
Javier Zanetti,88,338000
Christian Vieri,86,134000
Juan Roman Riquelme,91,392000
Andriy Shevchenko,91,480000
Jari Litmanen,88,144000
Roberto Baggio,89,333000
George Best,90,957000
Rivaldo,90,451000
Jari Litmanen,85,126000
Luis Hernandez,87,365000
Robert Pires,88,176000
Paul Scholes,89,207000
Hugo Sanchez,87,303000
Javier Zanetti,87,322000
David Beckham,87,803000
Pavel Nedved,89,443000
Rui Costa,90,358000
Marco Van Basten,91,217000
Gianluca Zambrotta,86,490000
Michael Laudrup,85,165000
Laurent Blanc,89,676000
Alessandro Nesta,92,384000
Michael Owen,91,474000
Frank Lampard,90,451000
Raul,88,312000
Ruud Van Nistelrooy,86,136000
Kaka,87,562000
Petr Cech,88,284000
Lev Yashin,94,579000
Xavi,88,452000
Roberto Baggio,91,427000
Gheorghe Hagi,85,232000
Fernando Hierro,89,216000
Gary Lineker,89,289000
Dennis Bergkamp,90,391000
Sol Campbell,87,515000
Sol Campbell,89,626000
Ryan Giggs,92,375000
Garrincha,94,2123000
Bastian Schweinsteiger,91,1007000
Emilio Butragueno,87,679000
Gianfranco Zola,87,421000
Michael Essien,85,770000
Ronaldinho,89,1205000
Gheorghe Hagi,91,433000
Alan Shearer,91,261000
David Beckham,92,832000
Raul,86,155000
Hugo Sanchez,89,424000
Luis Figo,92,1055000
Marcel Desailly,91,1211000
Puyol,90,357000
John Barnes,86,212000
Eric Cantona,90,1447000
Jay-Jay Okocha,87,185000
Robert Pires,91,303000
Deco,85,135000
Rivaldo,87,356000
Miroslav Klose,91,385000
Ryan Giggs,89,146000
Samuel Eto'O,90,1612000
Fernando Torres,85,380000
Garrincha,92,1208000
Carlos Alberto Torres,87,862000
Carlos Alberto Torres,93,1050000
Roy Keane,90,443000
Filippo Inzaghi,85,133000
Roy Keane,88,303000
Pep Guardiola,87,272000
Franco Baresi,88,194000
Phillip Lahm,91,858000
Nemanja Vidic,88,267000
Fabio Cannavaro,87,645000
Ian Wright,87,159000
Diego Maradona,91,1683000
Ronald Koeman,91,631000
Paolo Maldini,92,1314000
